cole_cod_dane_establecimiento,cole_nombre_establecimiento,cole_naturaleza,cole_mcpio_ubicacion,anio,n_estudiantes,prom_global,prom_matematicas,prom_lectura_critica,prom_c_naturales,prom_sociales,prom_ingles,percentil_prom_global
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,OFICIAL,CARTAGENA DE INDIAS,2024,177,204.7,40.2,44.6,40.8,37.9,41.7,21.0
113001001492,INSTITUCION EDUCATIVA LICEO DE BOLIVAR,OFICIAL,CARTAGENA DE INDIAS,2025,185,212.1,42.2,46.3,42.2,38.5,43.7,24.6
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,OFICIAL,CARTAGENA DE INDIAS,2021,62,215.5,42.4,46.6,42.4,41.9,40.8,31.6
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,OFICIAL,CARTAGENA DE INDIAS,2022,67,215.8,42.5,46.9,44.0,39.8,41.2,30.1
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,OFICIAL,CARTAGENA DE INDIAS,2023,64,220.2,43.6,46.3,43.8,42.1,44.9,30.1
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,OFICIAL,CARTAGENA DE INDIAS,2024,108,218.8,42.8,46.1,45.2,41.7,41.7,28.9
113001001581,INSTITUCION EDUCATIVA DE FREDONIA,OFICIAL,CARTAGENA DE INDIAS,2025,117,200.4,39.7,43.7,40.5,36.1,41.0,18.5
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,OFICIAL,CARTAGENA DE INDIAS,2021,100,220.5,44.8,47.6,42.9,41.5,43.1,34.9
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,OFICIAL,CARTAGENA DE INDIAS,2022,97,233.7,47.6,50.0,46.6,43.1,45.7,41.0
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,OFICIAL,CARTAGENA DE INDIAS,2023,87,234.8,45.9,51.5,45.8,44.7,46.9,38.5
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,OFICIAL,CARTAGENA DE INDIAS,2024,90,240.1,48.4,52.2,46.8,44.8,48.0,40.3
113001001697,INSTITUCION EDUCATIVA MANUELA BELTRAN,OFICIAL,CARTAGENA DE INDIAS,2025,90,242.5,48.5,52.5,48.0,44.5,49.8,41.1
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,OFICIAL,CARTAGENA DE INDIAS,2021,164,258.9,51.4,55.9,49.9,50.6,49.8,58.2
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,OFICIAL,CARTAGENA DE INDIAS,2022,167,260.0,51.9,55.4,50.8,49.8,52.2,56.3
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,OFICIAL,CARTAGENA DE INDIAS,2023,153,274.8,55.7,58.7,53.6,52.4,53.5,62.1
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,OFICIAL,CARTAGENA DE INDIAS,2024,177,286.4,57.6,59.5,56.3,55.8,56.9,66.4
113001001719,INSTITUCION EDUCATIVA PROMOCION SOCIAL DE C/GENA.,OFICIAL,CARTAGENA DE INDIAS,2025,166,289.2,60.2,60.0,57.0,54.0,58.6,67.2
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,OFICIAL,CARTAGENA DE INDIAS,2021,81,217.3,44.6,46.9,42.6,40.4,41.7,32.8
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,OFICIAL,CARTAGENA DE INDIAS,2022,89,220.5,45.0,46.1,44.5,41.7,41.0,32.9
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,OFICIAL,CARTAGENA DE INDIAS,2023,67,219.7,45.5,46.3,43.8,40.2,43.8,29.6
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,OFICIAL,CARTAGENA DE INDIAS,2024,102,233.3,46.7,47.9,48.1,44.4,45.1,37.2
113001001727,INSTITUCION EDUCATIVA REPUBLICA DEL LIBANO,OFICIAL,CARTAGENA DE INDIAS,2025,121,221.3,43.6,46.8,45.7,41.2,43.4,29.8
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,OFICIAL,CARTAGENA DE INDIAS,2021,251,203.9,40.7,45.2,40.1,37.4,40.1,24.6
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,OFICIAL,CARTAGENA DE INDIAS,2022,219,207.5,41.6,45.1,41.0,38.5,41.1,25.2
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,OFICIAL,CARTAGENA DE INDIAS,2023,236,213.9,42.9,46.3,42.2,39.4,43.9,26.0
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,OFICIAL,CARTAGENA DE INDIAS,2024,243,207.7,41.3,44.5,42.0,38.0,42.7,22.7
113001001816,INSTITUCION EDUCATIVA JOSE DE LA VEGA,OFICIAL,CARTAGENA DE INDIAS,2025,255,208.6,42.0,45.5,41.5,37.1,44.0,22.5
113001001972,INSTITUCION EDUCATIVA SEMINARIO,OFICIAL,CARTAGENA DE INDIAS,2021,195,236.9,48.6,51.5,46.1,43.5,46.8,45.3
113001001972,INSTITUCION EDUCATIVA SEMINARIO,OFICIAL,CARTAGENA DE INDIAS,2022,186,235.0,47.3,50.3,46.3,44.1,46.8,41.6
113001001972,INSTITUCION EDUCATIVA SEMINARIO,OFICIAL,CARTAGENA DE INDIAS,2023,193,241.0,48.7,51.2,48.0,44.6,49.3,42.2
113001001972,INSTITUCION EDUCATIVA SEMINARIO,OFICIAL,CARTAGENA DE INDIAS,2024,187,245.5,49.9,52.2,48.8,45.8,48.2,43.7
113001001972,INSTITUCION EDUCATIVA SEMINARIO,OFICIAL,CARTAGENA DE INDIAS,2025,194,245.5,48.0,52.4,49.8,45.1,52.2,42.7
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,OFICIAL,CARTAGENA DE INDIAS,2021,154,246.7,48.8,53.6,47.9,46.5,50.9,50.6
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,OFICIAL,CARTAGENA DE INDIAS,2022,154,250.7,50.7,53.6,49.7,46.7,49.6,50.4
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,OFICIAL,CARTAGENA DE INDIAS,2023,162,258.4,51.5,55.4,51.2,49.1,50.3,51.7
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,OFICIAL,CARTAGENA DE INDIAS,2024,133,285.4,57.1,59.1,58.2,54.5,55.4,66.4
113001002057,INSTITUCION EDUCATIVA SOLEDAD ROMAN DE NU?EZ,OFICIAL,CARTAGENA DE INDIAS,2025,159,275.9,57.8,56.8,55.4,50.5,55.6,59.5
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2021,180,208.4,41.7,45.5,41.1,38.8,40.8,28.2
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2022,140,207.6,41.2,44.8,41.0,39.2,41.5,25.8
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2023,157,212.1,43.2,45.4,41.1,39.7,43.4,25.1
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2024,148,206.8,40.6,44.4,41.3,38.9,41.9,22.5
113001002120,INSTITUCION EDUCATIVA HIJOS DE MARIA,OFICIAL,CARTAGENA DE INDIAS,2025,153,206.4,41.1,43.6,41.7,37.4,45.2,21.1
113001002138,INSTITUCION EDUCATIVA NUESTRA SRA DEL PERPETUO SOCORRO,OFICIAL,CARTAGENA DE INDIAS,2021,68,202.2,40.5,44.2,40.2,37.1,39.8,24.4
